Station,Latitude,Longitude,,,
BTS คูคต,13.9316803,100.643302,,,
BTS แยก คปอ.,13.9235858,100.6250309,,BTS Yaek Kor Por Aor. (Exit 4),
BTS พิพิธภัณฑ์กองทัพอากาศ,13.9198989,100.6219872,,,
BTS โรงพยาบาลภูมิพลอดุลยเดช,13.9091142,100.6177364,,,
BTS สะพานใหม่,13.89659311,100.6091289,,,
BTS สายหยุด,13.8884343,100.6043068,,,
BTS พหลโยธิน 59,13.8828526,100.5982827,,Phahon Yothin 59,"13.8828526,100.5982827"
BTS วัดพระศรีมหาธาตุ,13.8742572,100.5934384,,,
BTS กรมทหารราบที่ 11,13.8675282,100.574432,,11th Infantry Regiment,"13.8675282,100.574432"
BTS บางบัว,13.9222157,100.530052,,,
BTS กรมป่าไม้,13.8503668,100.579639,,,
BTS มหาวิทยาลัยเกษตรศาสตร์,13.8484754,100.5723925,,,
BTS เสนานิคม,13.8363601,100.5736122,,,
BTS รัชโยธิน,13.8308609,100.5702732,,,
BTS พหลโยธิน 24,13.8245607,100.5642677,,Phahonyothin 24,
BTS ห้าแยกลาดพร้าว,13.8165493,100.5619921,,,
BTS หมอชิต,13.8022855,100.553831,,,
BTS สะพานควาย,13.7936386,100.5496844,,,
BTS อารีย์,13.7797695,100.5446739,,,
BTS สนามเป้า,13.7723637,100.542038,,,
BTS อนุสาวรีย์ชัยสมรภูมิ,13.762793,100.537085,,,
BTS พญาไท,13.7797406,100.5446473,,,
BTS ราชเทวี,13.7626846,100.5370711,,,
BTS สยาม,13.7456058,100.5341187,,,
BTS ชิดลม,13.7430245,100.5491533,,,
BTS เพลินจิต,13.743044,100.548974,,,
BTS นานา,13.740523,100.555434,,,
BTS อโศก,13.7494501,100.5638369,,,
BTS พร้อมพงษ์,13.7304311,100.5696901,,,
BTS ทองหล่อ,13.724286,100.5784296,,,
BTS เอกมัย,13.7195248,100.5851003,,,
BTS พระโขนง,13.7151737,100.5912598,,,
BTS อ่อนนุช,13.7055123,100.6008805,,,
BTS บางจาก,13.6967714,100.6053226,,,
BTS ปุณณวิถี,13.6892509,100.6091317,,,
BTS อุดมสุข,13.6800751,100.6096967,,,
BTS บางนา,13.66848024,100.6046234,,,
BTS แบริ่ง,13.6612073,100.6019066,,,
BTS สำโรง,13.646192,100.595653,,,
BTS ปู่เจ้า,13.6372778,100.5920068,,,
BTS ช้างเอราวัณ,13.6215493,100.5901554,,,
BTS โรงเรียนนายเรือ,13.6084423,100.5948717,,BTS โรงเรียนนายเรือ E18,
BTS ปากน้ำ,13.6020916,100.5971145,,,
BTS ศรีนครินทร์,13.592079,100.608906,,,
BTS แพรกษา,13.584324,100.608027,,,
BTS สายลวด,13.5777129,100.605216,,,
BTS เคหะฯ,13.5679166,100.6070033,,,
BTS สนามกีฬาแห่งชาติ,13.746473,100.529073,,,
BTS ราชดำริ,13.739414,100.5395889,,,
BTS ศาลาแดง,13.7284782,100.5341135,,,
BTS ช่องนนทรี,13.723718,100.5295147,,,
BTS เซนต์หลุยส์,13.7191124,100.5252044,,,
BTS สุรศักดิ์,13.719228,100.5215297,,,
BTS สะพานตากสิน,13.718799,100.514119,,,
BTS กรุงธนบุรี,13.72123,100.502682,,,
BTS วงเวียนใหญ่,13.7246069,100.4919321,,,
BTS โพธิ์นิมิตร,13.7191583,100.4859017,,,
BTS ตลาดพลู,13.7142221,100.4768357,,,
BTS วุฒากาศ,13.7130484,100.4689001,,,
BTS บางหว้า,13.7201422,100.4570328,,,